"plid","nadults","stablelink","datetime","moon","tempf"
"LOCKb2013b_000165",12,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f68d.JPG",2013-01-04 12:00:00,"lastq",42
"LOCKb2013b_000166",17,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f68f.JPG",2013-01-04 13:00:00,"lastq",45
"LOCKb2013b_000167",13,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f691.JPG",2013-01-04 14:00:00,"lastq",45
"LOCKb2013b_000168",15,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f693.JPG",2013-01-04 15:00:00,"lastq",50
"LOCKb2013b_000169",12,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f695.JPG",2013-01-04 16:00:00,"lastq",47
"LOCKb2013b_000170",13,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f697.JPG",2013-01-04 17:00:00,"lastq",45
"LOCKb2013b_000171",16,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f699.JPG",2013-01-04 18:00:00,"lastq",43
"LOCKb2013b_000173",15,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f69d.JPG",2013-01-04 20:00:00,"lastq",44
"LOCKb2013b_000174",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f69f.JPG",2013-01-05 07:00:00,"lastq",38
"LOCKb2013b_000175",17,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f6a1.JPG",2013-01-05 08:00:00,"lastq",37
"LOCKb2013b_000176",16,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f6a3.JPG",2013-01-05 09:00:00,"lastq",39
"LOCKb2013b_000177",16,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f6a5.JPG",2013-01-05 10:00:00,"lastq",41
