imageid,datetime,nadults,nchicks,neggs,tempc,lunar_phase,URL
SPIGa2013b_003991,2013:10:02 15:00:00,0,0,0,12.22,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119ed112fc4d79f30509dd.JPG
SPIGa2013b_004576,2013:11:10 15:00:00,18,0,0,12.22,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119ed512fc4d79f3050e6f.JPG
SPIGa2013b_004710,2013:11:19 14:00:00,30,0,0,12.22,full,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119ed612fc4d79f3050f7b.JPG
SPIGa2013b_004855,2013:11:29 09:00:00,20,0,0,12.22,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119ed812fc4d79f305109d.JPG
SPIGa2013b_004926,2013:12:03 20:00:00,17,0,0,12.22,new,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119ed812fc4d79f305112b.JPG
SPIGa2013b_004946,2013:12:05 10:00:00,15,0,0,12.22,newcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119ed812fc4d79f3051153.JPG
SPIGa2014a_000028,2013:12:25 15:00:00,26,0,0,12.22,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edb12fc4d79f30513b1.JPG
SPIGa2014a_000043,2013:12:26 16:00:00,30,0,1,12.22,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edb12fc4d79f30513cf.JPG
SPIGa2014a_000054,2013:12:27 13:00:00,35,0,0,12.22,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edb12fc4d79f30513e5.JPG
SPIGa2014a_000057,2013:12:27 16:00:00,38,0,0,12.22,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edb12fc4d79f30513eb.JPG
SPIGa2014a_000157,2014:01:03 18:00:00,40,0,1,12.22,newcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edc12fc4d79f30514b3.JPG
